#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,xorg-server,"is the graphical server."
,xorg-xwininfo,"allows querying information about windows."
,xorg-xinit,"starts the graphical server."
,ttf-linux-libertine,"provides the sans and serif fonts."
A,lf-git,"is an extensive terminal file manager that everyone likes."
,bc,"is used for a dropdown calculator."
,xcompmgr,"is for transparency and removing screen-tearing."
,xorg-xprop,"is a tool for detecting window properties."
,arandr,"allows the user to customize monitor arrangements."
,dosfstools,"allows your computer to access dos-like filesystems."
,libnotify,"allows desktop notifications."
,dunst,"is a suckless notification system."
,exfat-utils,"allows management of FAT drives."
,sxiv,"is a minimalist image viewer."
,xwallpaper,"sets the wallpaper."
,ffmpeg,"can record and splice video and audio on the command line."
,gnome-keyring,"serves as the system keyring."
A,gtk-theme-arc-gruvbox-git,"gives the dark GTK theme."
A,spotify,"is a music streaming service."
,mpv,"is the patrician's choice video player."
,man-db,"lets you read man pages of programs."
,ncmpcpp,"a ncurses interface for music with multiple formats and a powerful tag editor."
,firefox,"is the web browser."
,noto-fonts-emoji,"is an emoji font."
,ntfs-3g,"allows accessing NTFS partitions."
,pulseaudio-alsa,"is the audio system."
,pulsemixer,"is an audio controller."
,pamixer,"is a command-line audio interface."
,libreoffice-fresh,"is like a MS Office suite."
,libreoffice-fresh-pl,"is a polish language pack for LibreOffice."
,maim,"can take quick screenshots at your request."
,unclutter,"hides an inactive mouse."
,unrar,"extracts rar's."
,unzip,"unzips zips."
,xclip,"allows for copying and pasting from the command line."
,xdotool,"provides window action utilities on the command line."
,youtube-dl,"can download any YouTube video (or playlist or channel) when given the link."
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
,poppler,"manipulates .pdfs and gives .pdf previews and other .pdf functions."
,mediainfo,"shows audio and video information."
,atool,"manages and gives information about archives."
,fzf,"is a fuzzy finder tool."
,highlight,"can highlight code output."
,xorg-xbacklight,"enables changing screen brightness levels."
A,zsh-fast-syntax-highlighting,"provides syntax highlighting in the shell."
A,task-spooler,"queues commands or files for download."
A,simple-mtpfs,"enables the mounting of cell phones."
A,htop-vim-git,"is a graphical and colorful system monitor."
G,https://github.com/wronaq/dmenu.git,"runs commands and provides a UI for selection."
G,https://github.com/wronaq/st.git,"is my custom build of suckless's terminal emulator."
G,https://github.com/wronaq/dwm.git,"is the window manager."
,slock,"allows you to lock your computer, and quickly unlock with your password."
,ufw,"is a tool for managing a netfilter firewall."
,openssh,"allows for remote login with the SSH protocol."
,rsync,"is a fast and versatile file copying tool for remote and local files."
,code,"is the Visual Studio Code."
,python,"is the programming language."
,python-pip,"for installing Python packages."
,python-pipenv,"for managing virtual enviroments."
,pyenv,"allows to easily switch between multiple versions of Python."
,keepassxc,"is a port of Keepass password manager."
,redshift,"adjusts the color temperature of your screen according to your surroundings."
A,megacmd,"allows automated syncing between your computers and your MEGA cloud drive."
,steam,"is a game platform."
,remmina,"is another remote desktop client."
,filezilla,"is a fast and reliable FTP, FTPS and SFTP client."
,virtualbox,"is a virtualization tool."
